dataset,method,prior_mode,r,c,direction,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,auprc_mean,auprc_std,macro_f1_mean,macro_f1_std,minority_precision_mean,minority_precision_std,minority_recall_mean,minority_recall_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,realized_c_mean,n_seeds
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.1,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0011521909060787667,0.0008998530467175858,0.017775769967492368,0.002137785175704955,0.017143886310590734,0.0016107546028871031,0.1015625,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.2,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.014850097465772802,0.0009591807457209335,0.09665145620812621,0.004457631469331617,0.08816807011237081,0.003930300283357208,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.2,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0038312122178031003,7.960146580934728e-05,0.042902972209304106,0.0006211886310284311,0.0408547714195265,0.0005793412503039444,0.203125,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.3,majority_to_minority,0.9978213507625272,0.0037735311711740915,0.9956427015250545,0.007547062342348014,1.0,0.0,0.9975484952217943,0.004246130830850074,0.9946236559139785,0.009312101115961625,1.0,0.0,1.0,0.0,0.044450723419988736,0.0008333688980867618,0.1830946670654198,0.003194044363726997,0.15525036964577632,0.0026034710710272865,0.3005464480874317,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.3,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.014976175859825266,0.0008458985252098253,0.08967450739932374,0.0025401947350684176,0.08108916414864786,0.0020067237073139238,0.296875,3
banknote_authentication,tabpfn_distpfn,oracle,0.5,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.2101237526099725e-10,5.251181714835669e-11,1.3500551286415142e-05,3.871259521634074e-07,1.350044077802736e-05,3.870998647151681e-07,0.0,3
banknote_authentication,tabpfn_distpfn,oracle,0.5,0.05,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0011379217026205332,0.00041758565077727695,0.0229678533343272,0.0014291860217933339,0.0223455804522824,0.0011517757011190021,0.0504451038575667,3
banknote_authentication,tabpfn_distpfn,oracle,0.5,0.05,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012341883468532,5.5041590122357986e-05,0.023126385302554602,0.00018768446838888974,0.022483757858749166,0.0002180697969823834,0.05000000000000001,3
banknote_authentication,tabpfn_distpfn,oracle,0.5,0.1,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0051237686104643665,5.838098930622741e-05,0.05556281865462127,8.147148054170737e-05,0.0528181244760475,6.706214632532778e-05,0.1011235955056179,3
banknote_authentication,tabpfn_distpfn,oracle,0.5,0.1,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006886425516402,6.566531574685846e-05,0.057699469561898774,0.00031126184638252734,0.05391069546925414,0.00027370314513332363,0.10000000000000002,3
