method,dataset,r,direction,break_even_c
xgb_ros,ionosphere,0.2,minority_to_majority,>0.30
xgb_ros,ionosphere,0.5,majority_to_minority,0.05
xgb_ros,ionosphere,0.5,minority_to_majority,>0.30
xgb_ros,qsar_biodegradation,0.05,majority_to_minority,>0.30
xgb_ros,qsar_biodegradation,0.05,minority_to_majority,>0.30
xgb_ros,qsar_biodegradation,0.1,majority_to_minority,>0.30
xgb_ros,qsar_biodegradation,0.1,minority_to_majority,>0.30
xgb_ros,qsar_biodegradation,0.2,majority_to_minority,>0.30
xgb_ros,qsar_biodegradation,0.2,minority_to_majority,>0.30
xgb_ros,qsar_biodegradation,0.5,majority_to_minority,>0.30
xgb_ros,qsar_biodegradation,0.5,minority_to_majority,0.05
xgb_ros,south_german_credit,0.05,majority_to_minority,0.1
xgb_ros,south_german_credit,0.05,minority_to_majority,>0.30
xgb_ros,south_german_credit,0.1,majority_to_minority,>0.30
xgb_ros,south_german_credit,0.1,minority_to_majority,>0.30
xgb_ros,south_german_credit,0.2,majority_to_minority,>0.30
xgb_ros,south_german_credit,0.2,minority_to_majority,>0.30
xgb_ros,south_german_credit,0.5,majority_to_minority,0.05
xgb_ros,south_german_credit,0.5,minority_to_majority,0.05
xgb_ros,spambase,0.05,majority_to_minority,>0.30
xgb_ros,spambase,0.05,minority_to_majority,>0.30
xgb_ros,spambase,0.1,majority_to_minority,>0.30
xgb_ros,spambase,0.1,minority_to_majority,>0.30
xgb_ros,spambase,0.2,majority_to_minority,>0.30
xgb_ros,spambase,0.2,minority_to_majority,>0.30
xgb_ros,spambase,0.5,majority_to_minority,>0.30
xgb_ros,spambase,0.5,minority_to_majority,>0.30
xgb_ros,statlog_heart,0.05,majority_to_minority,0.1
xgb_ros,statlog_heart,0.05,minority_to_majority,>0.30
xgb_ros,statlog_heart,0.1,majority_to_minority,0.1
xgb_ros,statlog_heart,0.1,minority_to_majority,>0.30
xgb_ros,statlog_heart,0.2,majority_to_minority,0.05
xgb_ros,statlog_heart,0.2,minority_to_majority,0.1
xgb_ros,statlog_heart,0.5,majority_to_minority,0.05
xgb_ros,statlog_heart,0.5,minority_to_majority,0.05
xgb_smote,banknote_authentication,0.05,majority_to_minority,>0.30
xgb_smote,banknote_authentication,0.05,minority_to_majority,>0.30
xgb_smote,banknote_authentication,0.1,majority_to_minority,0.3
xgb_smote,banknote_authentication,0.1,minority_to_majority,>0.30
xgb_smote,banknote_authentication,0.2,majority_to_minority,0.05
xgb_smote,banknote_authentication,0.2,minority_to_majority,>0.30
xgb_smote,banknote_authentication,0.5,majority_to_minority,0.05
xgb_smote,banknote_authentication,0.5,minority_to_majority,0.05
xgb_smote,blood_transfusion,0.05,majority_to_minority,>0.30
xgb_smote,blood_transfusion,0.05,minority_to_majority,>0.30
xgb_smote,blood_transfusion,0.1,majority_to_minority,0.1
xgb_smote,blood_transfusion,0.1,minority_to_majority,>0.30
xgb_smote,blood_transfusion,0.2,majority_to_minority,>0.30
xgb_smote,blood_transfusion,0.2,minority_to_majority,>0.30
xgb_smote,blood_transfusion,0.5,majority_to_minority,0.1
xgb_smote,blood_transfusion,0.5,minority_to_majority,0.05
xgb_smote,breast_cancer_wisconsin,0.05,majority_to_minority,>0.30
xgb_smote,breast_cancer_wisconsin,0.05,minority_to_majority,>0.30
