dataset,r,c,direction,method,balanced_accuracy_observed,balanced_accuracy_oracle
spambase,0.05,0.05,majority_to_minority,tabpfn_threshold,0.9479595564639552,0.9481422238020478
spambase,0.05,0.05,minority_to_majority,tabpfn_threshold,0.9409836389308532,0.9411218736731932
spambase,0.05,0.1,majority_to_minority,tabpfn_threshold,0.9450220681892236,0.947478203343306
spambase,0.05,0.1,minority_to_majority,tabpfn_threshold,0.9416698756874712,0.9419241288742756
spambase,0.05,0.2,majority_to_minority,tabpfn_threshold,0.9382066016963376,0.9396728773561618
spambase,0.05,0.2,minority_to_majority,tabpfn_threshold,0.9376758790248528,0.9382066016963378
spambase,0.05,0.3,majority_to_minority,tabpfn_threshold,0.9399049142450904,0.9402430956683157
spambase,0.05,0.3,minority_to_majority,tabpfn_threshold,0.9363651174501616,0.9324204903383788
spambase,0.1,0.0,clean,tabpfn_threshold,0.9492481017407703,0.9492481017407703
spambase,0.1,0.05,majority_to_minority,tabpfn_threshold,0.9497294548614196,0.9492925343365228
spambase,0.1,0.05,minority_to_majority,tabpfn_threshold,0.9476164380856464,0.9480533586105432
spambase,0.1,0.1,majority_to_minority,tabpfn_threshold,0.9456638723500892,0.945868755986058
spambase,0.1,0.1,minority_to_majority,tabpfn_threshold,0.952965628918708,0.9527607452827396
spambase,0.1,0.2,majority_to_minority,tabpfn_threshold,0.951333965263584,0.9486902258163252
spambase,0.1,0.2,minority_to_majority,tabpfn_threshold,0.943622441423028,0.9435335762315236
spambase,0.1,0.3,majority_to_minority,tabpfn_threshold,0.9485347117311927,0.9396852197438706
spambase,0.1,0.3,minority_to_majority,tabpfn_threshold,0.9412996040562024,0.9446567335130386
spambase,0.2,0.0,clean,tabpfn_threshold,0.9608869733503166,0.9608869733503166
spambase,0.2,0.05,majority_to_minority,tabpfn_threshold,0.9556760172595952,0.9562956051225844
spambase,0.2,0.05,minority_to_majority,tabpfn_threshold,0.9543430393870276,0.9555377825172546
spambase,0.2,0.1,majority_to_minority,tabpfn_threshold,0.9547799599119248,0.9525509246916872
spambase,0.2,0.1,minority_to_majority,tabpfn_threshold,0.9491765158920584,0.9494307690788628
spambase,0.2,0.2,majority_to_minority,tabpfn_threshold,0.945962558132646,0.9430645654985832
spambase,0.2,0.2,minority_to_majority,tabpfn_threshold,0.9484902791354404,0.948423630241812
spambase,0.2,0.3,majority_to_minority,tabpfn_threshold,0.947478203343306,0.9432200795837158
spambase,0.2,0.3,minority_to_majority,tabpfn_threshold,0.947892907570327,0.9428695557727816
spambase,0.5,0.0,clean,tabpfn_threshold,0.9625630696011928,0.9625630696011928
spambase,0.5,0.05,majority_to_minority,tabpfn_threshold,0.955355115179162,0.9563178214204608
spambase,0.5,0.05,minority_to_majority,tabpfn_threshold,0.9550119968008532,0.9548293294627608
spambase,0.5,0.1,majority_to_minority,tabpfn_threshold,0.9542986067912754,0.9509192610365632
spambase,0.5,0.1,minority_to_majority,tabpfn_threshold,0.955239096734698,0.9551502315431932
spambase,0.5,0.2,majority_to_minority,tabpfn_threshold,0.9472017338586252,0.94560956584417
spambase,0.5,0.2,minority_to_majority,tabpfn_threshold,0.9506699448048422,0.9446838867659982
spambase,0.5,0.3,majority_to_minority,tabpfn_threshold,0.9428596818626144,0.8893801159197053
spambase,0.5,0.3,minority_to_majority,tabpfn_threshold,0.9442420292860176,0.9313244863098236
banknote_authentication,0.05,0.0,clean,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.05,0.05,majority_to_minority,tabpfn_distpfn,0.9978213507625272,0.9978213507625272
banknote_authentication,0.05,0.05,minority_to_majority,tabpfn_distpfn,0.993169398907104,0.993169398907104
banknote_authentication,0.05,0.1,majority_to_minority,tabpfn_distpfn,0.9989106753812635,0.9989106753812635
banknote_authentication,0.05,0.1,minority_to_majority,tabpfn_distpfn,0.9931693989071038,0.989071038251366
banknote_authentication,0.05,0.2,majority_to_minority,tabpfn_distpfn,0.9989106753812635,0.9967320261437908
banknote_authentication,0.05,0.2,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.05,0.3,majority_to_minority,tabpfn_distpfn,0.9989106753812635,0.9978213507625272
banknote_authentication,0.05,0.3,minority_to_majority,tabpfn_distpfn,0.993169398907104,0.993169398907104
banknote_authentication,0.1,0.0,clean,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.1,0.05,majority_to_minority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.1,0.05,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.1,0.1,majority_to_minority,tabpfn_distpfn,0.9989106753812635,0.9978213507625272
banknote_authentication,0.1,0.1,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.1,0.2,majority_to_minority,tabpfn_distpfn,0.994553376906318,0.9923747276688454
banknote_authentication,0.1,0.2,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.1,0.3,majority_to_minority,tabpfn_distpfn,1.0,0.9989106753812635
banknote_authentication,0.1,0.3,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.2,0.0,clean,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.2,0.05,majority_to_minority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.2,0.05,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.2,0.1,majority_to_minority,tabpfn_distpfn,0.9934640522875816,0.9934640522875816
banknote_authentication,0.2,0.1,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.2,0.2,majority_to_minority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.2,0.2,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.2,0.3,majority_to_minority,tabpfn_distpfn,1.0,0.9978213507625272
banknote_authentication,0.2,0.3,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.5,0.0,clean,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.5,0.05,majority_to_minority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.5,0.05,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.5,0.1,majority_to_minority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.5,0.1,minority_to_majority,tabpfn_distpfn,1.0,1.0
banknote_authentication,0.5,0.2,majority_to_minority,tabpfn_distpfn,1.0,0.9978213507625272
banknote_authentication,0.5,0.2,minority_to_majority,tabpfn_distpfn,1.0,0.993169398907104
banknote_authentication,0.5,0.3,majority_to_minority,tabpfn_distpfn,0.9705882352941178,0.514161220043573
banknote_authentication,0.5,0.3,minority_to_majority,tabpfn_distpfn,0.9972677595628416,0.9398907103825136
blood_transfusion,0.05,0.0,clean,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.05,0.05,majority_to_minority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.05,0.05,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.05,0.1,majority_to_minority,tabpfn_distpfn,0.5,0.4985380116959064
blood_transfusion,0.05,0.1,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.05,0.2,majority_to_minority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.05,0.2,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.05,0.3,majority_to_minority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.05,0.3,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.1,0.0,clean,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.1,0.05,majority_to_minority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.1,0.05,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.1,0.1,majority_to_minority,tabpfn_distpfn,0.4970760233918128,0.5017056530214424
blood_transfusion,0.1,0.1,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.1,0.2,majority_to_minority,tabpfn_distpfn,0.5017056530214424,0.5065789473684211
blood_transfusion,0.1,0.2,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.1,0.3,majority_to_minority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.1,0.3,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.2,0.0,clean,tabpfn_distpfn,0.5416666666666666,0.5416666666666666
blood_transfusion,0.2,0.05,majority_to_minority,tabpfn_distpfn,0.5701754385964912,0.5765107212475633
blood_transfusion,0.2,0.05,minority_to_majority,tabpfn_distpfn,0.5309454191033138,0.5263157894736842
blood_transfusion,0.2,0.1,majority_to_minority,tabpfn_distpfn,0.5577485380116959,0.5672514619883041
blood_transfusion,0.2,0.1,minority_to_majority,tabpfn_distpfn,0.5355750487329435,0.5309454191033138
blood_transfusion,0.2,0.2,majority_to_minority,tabpfn_distpfn,0.5670077972709552,0.6130604288499025
blood_transfusion,0.2,0.2,minority_to_majority,tabpfn_distpfn,0.5063352826510722,0.5
blood_transfusion,0.2,0.3,majority_to_minority,tabpfn_distpfn,0.5326510721247564,0.5935672514619883
blood_transfusion,0.2,0.3,minority_to_majority,tabpfn_distpfn,0.5,0.5
blood_transfusion,0.5,0.0,clean,tabpfn_distpfn,0.675682261208577,0.675682261208577
blood_transfusion,0.5,0.05,majority_to_minority,tabpfn_distpfn,0.6917641325536062,0.6868908382066277
blood_transfusion,0.5,0.05,minority_to_majority,tabpfn_distpfn,0.6851851851851851,0.6783625730994153
blood_transfusion,0.5,0.1,majority_to_minority,tabpfn_distpfn,0.6864035087719298,0.6686159844054581
blood_transfusion,0.5,0.1,minority_to_majority,tabpfn_distpfn,0.6544834307992203,0.6403508771929824
blood_transfusion,0.5,0.2,majority_to_minority,tabpfn_distpfn,0.6186647173489278,0.5823586744639376
