dataset,r,c,direction,method,psg
spambase,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.003944627111782784
spambase,0.1,0.05,majority_to_minority,tabpfn_threshold,-0.0004369205248967445
spambase,0.1,0.05,minority_to_majority,tabpfn_threshold,0.0004369205248967445
spambase,0.1,0.1,majority_to_minority,tabpfn_threshold,0.0002048836359688222
spambase,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.0002048836359683781
spambase,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.0026437394472588194
spambase,0.1,0.2,minority_to_majority,tabpfn_threshold,-8.886519150441696e-05
spambase,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.0088494919873221
spambase,0.1,0.3,minority_to_majority,tabpfn_threshold,0.0033571294568361942
spambase,0.2,0.05,majority_to_minority,tabpfn_threshold,0.0006195878629892126
spambase,0.2,0.05,minority_to_majority,tabpfn_threshold,0.0011947431302270495
spambase,0.2,0.1,majority_to_minority,tabpfn_threshold,-0.0022290352202375407
spambase,0.2,0.1,minority_to_majority,tabpfn_threshold,0.00025425318680438735
spambase,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.0028979926340627626
spambase,0.2,0.2,minority_to_majority,tabpfn_threshold,-6.664889362839599e-05
spambase,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.004258123759590227
spambase,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.005023351797545317
spambase,0.5,0.05,majority_to_minority,tabpfn_threshold,0.0009627062412987941
spambase,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.00018266733809246816
spambase,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.003379345754712215
spambase,0.5,0.1,minority_to_majority,tabpfn_threshold,-8.886519150475003e-05
spambase,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.0015921680144551642
spambase,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.005986058038844
spambase,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.053479565942909035
spambase,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.012917542976194074
statlog_heart,0.05,0.05,majority_to_minority,tabpfn_threshold,0.0
statlog_heart,0.05,0.05,minority_to_majority,tabpfn_threshold,0.0
statlog_heart,0.05,0.1,majority_to_minority,tabpfn_threshold,-0.015277777777777724
statlog_heart,0.05,0.1,minority_to_majority,tabpfn_threshold,-0.00694444444444442
statlog_heart,0.05,0.2,majority_to_minority,tabpfn_threshold,-0.029166666666666785
statlog_heart,0.05,0.2,minority_to_majority,tabpfn_threshold,0.004166666666666652
statlog_heart,0.05,0.3,majority_to_minority,tabpfn_threshold,-0.02361111111111125
statlog_heart,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.04166666666666652
statlog_heart,0.1,0.05,majority_to_minority,tabpfn_threshold,-0.005555555555555536
statlog_heart,0.1,0.05,minority_to_majority,tabpfn_threshold,-0.006944444444444531
statlog_heart,0.1,0.1,majority_to_minority,tabpfn_threshold,0.001388888888888884
statlog_heart,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.00694444444444442
statlog_heart,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.01805555555555549
statlog_heart,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.006944444444444309
statlog_heart,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.063888888888889
statlog_heart,0.1,0.3,minority_to_majority,tabpfn_threshold,-0.015277777777777724
statlog_heart,0.2,0.05,majority_to_minority,tabpfn_threshold,-0.004166666666666652
statlog_heart,0.2,0.05,minority_to_majority,tabpfn_threshold,-0.002777777777777879
statlog_heart,0.2,0.1,majority_to_minority,tabpfn_threshold,-0.01666666666666683
statlog_heart,0.2,0.1,minority_to_majority,tabpfn_threshold,-0.006944444444444309
statlog_heart,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.00694444444444442
statlog_heart,0.2,0.2,minority_to_majority,tabpfn_threshold,-0.04583333333333339
statlog_heart,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.09722222222222232
statlog_heart,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.009722222222222188
statlog_heart,0.5,0.05,majority_to_minority,tabpfn_threshold,-0.011111111111111072
statlog_heart,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.001388888888888773
statlog_heart,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.002777777777777768
statlog_heart,0.5,0.1,minority_to_majority,tabpfn_threshold,0.008333333333333415
statlog_heart,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.050000000000000044
statlog_heart,0.5,0.2,minority_to_majority,tabpfn_threshold,0.043055555555555625
statlog_heart,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.16805555555555562
statlog_heart,0.5,0.3,minority_to_majority,tabpfn_threshold,0.002777777777777768
banknote_authentication,0.05,0.05,majority_to_minority,tabpfn_distpfn,0.0
banknote_authentication,0.05,0.05,minority_to_majority,tabpfn_distpfn,0.0
banknote_authentication,0.05,0.1,majority_to_minority,tabpfn_distpfn,0.0
banknote_authentication,0.05,0.1,minority_to_majority,tabpfn_distpfn,-0.004098360655737765
banknote_authentication,0.05,0.2,majority_to_minority,tabpfn_distpfn,-0.002178649237472796
